"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,PERSONS,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006550,,950,,10,8,7,7,10,10,6,10,7,5,4,5,9,7,6,14,8,13,8,6,10,12,6,12,0,5,5,1,15,4,9,9,6,5,10,10,9,4,6,7,15,8,16,12,14,12,12,19,22,12,14,23,12,11,21,14,21,16,15,11,9,22,15,15,13,9,9,10,5,9,9,16,14,12,8,16,15,13,12,16,12,11,9,8,12,8,10,1,5,5,17
S01006551,,682,,11,5,5,7,6,5,4,7,9,7,6,6,4,2,5,12,4,10,8,8,1,1,7,7,5,9,6,6,9,11,6,9,7,12,10,7,6,5,16,10,15,6,8,9,11,11,13,13,13,13,4,6,8,7,11,8,6,7,6,2,12,8,9,12,6,10,7,4,7,13,13,11,7,6,7,10,8,14,12,7,7,5,1,5,4,2,1,9,2,2,3
S01006552,,871,,9,9,7,13,8,2,7,6,4,6,3,7,6,6,10,11,12,4,10,2,11,6,8,13,10,12,17,10,18,13,21,20,19,15,14,14,7,11,19,16,3,5,6,15,14,10,16,11,7,13,18,17,13,17,17,8,18,15,10,16,15,7,18,10,18,8,15,7,9,8,8,10,7,9,4,5,8,6,5,5,3,4,3,1,2,5,1,0,1,0,4
S01006553,,846,,7,5,10,3,6,11,13,9,7,8,7,7,9,8,5,11,6,7,4,8,8,5,5,8,4,8,2,3,7,5,8,6,3,1,10,9,8,11,5,8,17,8,11,10,6,15,6,10,14,12,9,17,16,5,12,6,10,11,11,4,15,12,11,9,18,8,15,11,8,15,18,13,15,11,10,9,10,18,9,13,16,11,12,15,18,7,6,6,4,1,17
S01006554,,705,,9,5,6,7,4,7,8,3,4,8,10,6,2,5,5,6,3,5,7,0,6,8,11,8,15,18,11,10,15,14,12,10,12,5,5,10,11,6,12,12,10,9,10,11,8,6,13,9,8,6,7,9,11,10,14,9,7,3,16,7,8,4,10,7,8,8,10,7,6,4,2,8,11,7,7,7,8,9,5,5,10,7,9,4,5,4,1,3,5,4,8
S01006555,,799,,12,11,18,10,11,9,8,9,6,10,12,11,7,10,4,12,3,7,8,5,9,8,12,10,18,11,25,26,12,19,11,14,16,14,13,13,20,18,18,12,18,14,11,11,13,4,11,5,16,4,7,10,12,11,8,5,9,6,9,5,9,7,9,16,5,8,3,6,3,4,4,4,6,6,2,3,4,2,2,3,6,4,3,1,2,0,0,4,0,0,2
S01006556,,839,,10,12,8,7,15,9,9,7,8,6,11,4,4,9,5,9,7,5,11,16,10,8,9,11,3,10,7,12,8,14,18,19,14,10,8,13,4,8,14,9,12,7,13,11,19,10,10,9,11,11,10,13,8,12,18,5,14,5,10,9,10,12,14,2,8,8,0,2,6,7,7,6,4,5,9,10,10,18,10,14,14,15,8,9,8,4,4,5,5,0,7
S01006557,,708,,7,11,12,10,5,7,7,11,7,8,3,3,6,10,8,6,9,8,8,11,7,12,15,7,12,10,5,9,13,11,9,11,10,12,4,11,5,11,16,9,7,6,14,13,10,10,10,10,15,17,15,7,9,8,10,9,9,8,7,8,9,12,9,6,12,7,6,7,5,1,1,6,6,2,6,8,3,4,3,1,3,6,4,6,6,1,1,3,2,1,3
S01006558,,622,,11,6,2,7,2,6,4,4,3,1,2,4,4,2,1,5,6,4,1,4,5,10,12,8,24,17,11,11,21,28,21,13,8,8,11,14,9,14,14,7,6,10,5,7,9,8,7,6,6,10,8,6,13,2,13,6,7,5,6,9,7,4,8,7,9,4,4,6,5,3,2,6,1,6,4,2,1,5,9,4,1,4,2,6,2,3,1,0,4,1,7
S01006559,,607,,5,4,3,9,4,5,10,3,3,9,6,10,6,5,7,6,5,17,8,2,12,8,3,13,13,4,8,10,11,12,20,13,9,9,5,5,4,3,5,5,10,9,11,8,6,11,14,11,10,12,6,13,5,11,10,8,14,10,7,15,5,6,4,10,9,4,1,5,3,6,1,1,4,2,4,5,5,4,4,4,1,4,2,2,4,1,2,0,0,0,4
S01006560,,"1,040",,12,14,7,13,10,11,8,13,7,9,12,13,10,13,16,9,16,17,12,9,12,8,6,15,10,7,19,12,16,13,19,11,9,15,12,16,10,10,13,14,15,20,22,11,13,20,14,17,27,17,14,14,9,12,9,9,8,13,13,12,17,14,7,9,15,6,8,4,11,9,8,4,3,9,0,7,3,3,6,9,9,7,10,11,12,10,5,6,5,15,31
S01006561,,767,,4,8,5,14,12,8,12,9,10,5,11,6,10,15,11,10,12,11,12,7,9,3,10,4,6,5,3,6,9,11,10,13,13,5,7,6,5,7,8,18,17,9,10,16,12,16,11,11,16,11,9,22,16,13,9,6,9,4,8,12,19,9,16,11,6,4,8,6,5,10,7,7,7,7,2,5,4,5,5,6,5,4,1,3,2,5,2,1,1,3,4
S01006562,,720,,2,3,5,6,7,8,8,6,12,6,8,7,9,10,8,7,4,7,6,10,4,9,5,8,6,7,1,6,4,6,2,5,12,8,7,14,9,9,8,8,13,10,11,7,11,11,17,16,10,10,7,11,17,13,14,9,10,12,19,11,13,9,7,8,12,11,8,7,8,8,6,8,8,10,4,5,10,7,4,8,6,4,9,5,3,4,2,1,2,2,5
S01006563,,822,,12,10,11,13,13,10,13,12,7,7,8,9,8,10,11,7,5,8,6,6,6,5,6,9,9,9,12,14,10,8,4,7,9,14,25,12,17,15,13,14,9,14,12,17,13,13,8,13,11,6,8,7,9,13,6,13,10,9,6,12,11,14,8,11,13,4,10,6,7,14,2,10,11,8,10,3,9,5,4,12,7,2,2,3,4,7,5,3,1,0,3
S01006564,,999,,9,10,10,8,5,8,3,4,4,9,3,5,1,5,5,4,4,8,12,13,20,41,35,31,37,36,34,23,29,33,24,28,25,15,18,15,16,15,12,16,10,11,17,18,13,4,16,11,14,16,10,21,10,6,7,9,10,9,3,7,6,3,14,5,5,3,4,3,5,7,4,4,3,5,2,8,4,13,8,3,1,5,1,5,2,4,4,2,3,3,5
S01006565,,965,,7,6,9,3,1,3,2,0,2,0,0,2,1,1,0,1,2,2,18,30,45,50,57,55,44,46,35,41,41,38,31,16,32,11,24,13,12,17,12,14,14,12,12,8,7,11,8,10,7,9,7,5,7,5,8,8,4,4,6,3,6,7,10,3,3,4,1,3,3,7,3,2,3,3,2,1,4,1,1,1,3,3,3,1,1,3,0,1,3,0,0
S01006566,,764,,5,10,9,7,2,1,1,5,5,5,7,6,5,2,4,3,1,0,6,4,8,19,20,29,20,32,25,36,42,25,23,19,14,18,14,14,10,8,14,11,12,8,10,7,11,7,12,8,9,10,7,9,9,8,7,8,10,5,10,5,7,9,9,8,11,5,10,5,2,2,4,4,2,1,1,3,4,2,1,1,1,1,1,1,1,1,1,0,2,1,2
S01006567,,808,,8,6,3,2,0,3,1,2,2,2,5,1,0,3,2,4,0,3,3,12,25,33,28,32,39,36,28,46,41,26,34,19,22,8,7,11,5,13,9,14,7,9,7,6,7,8,6,10,14,10,7,2,6,10,5,7,10,3,9,5,8,6,9,4,8,4,6,3,3,1,4,4,3,2,4,4,2,1,7,5,2,3,7,1,1,0,4,6,2,1,7
S01006568,,928,,9,4,9,0,5,2,3,0,2,2,2,2,1,4,1,1,1,6,3,6,26,36,39,50,36,61,52,40,54,45,33,36,29,32,13,13,14,14,19,15,7,5,15,9,13,13,9,7,12,7,5,7,6,7,6,9,6,9,5,7,6,5,2,3,2,2,1,4,1,0,1,1,1,0,1,1,0,2,1,0,1,2,0,1,2,0,0,0,0,1,3
S01006569,,567,,6,9,9,6,2,5,3,4,3,0,1,5,5,0,5,10,4,7,4,9,8,9,7,15,22,24,16,25,10,26,17,12,10,9,6,13,16,10,8,6,5,12,2,3,7,8,6,5,12,8,6,4,5,10,10,6,6,2,4,5,3,5,5,2,4,3,3,3,4,6,2,5,2,3,0,5,2,4,1,2,1,0,0,3,4,0,1,1,1,0,0
S01006570,,791,,7,12,11,14,7,7,9,11,3,10,3,6,8,7,8,9,12,3,6,6,10,12,20,16,20,12,17,13,18,20,20,18,9,19,14,9,9,9,11,15,19,14,19,13,14,14,13,7,12,11,8,7,13,3,10,11,5,9,7,6,9,6,8,4,3,10,6,4,8,7,2,3,5,2,4,2,5,4,3,2,2,3,5,6,1,2,5,1,2,1,1
S01006571,,899,,14,15,9,5,12,9,12,9,12,6,8,11,7,5,4,5,5,4,3,13,17,15,18,14,15,22,23,12,19,12,20,9,18,10,14,12,18,16,20,22,18,19,11,12,15,13,14,10,15,12,9,6,13,15,10,10,14,11,9,5,16,6,17,17,9,5,3,8,3,7,8,4,3,3,2,7,4,4,5,6,4,1,3,4,4,1,3,0,0,1,6
S01006572,,898,,5,9,11,12,14,13,13,11,11,5,11,12,13,15,13,13,13,14,13,5,9,4,5,5,6,8,6,3,5,4,7,6,13,5,7,5,7,12,10,17,15,16,8,11,19,20,23,12,19,24,23,20,17,18,7,11,15,13,8,14,15,12,10,12,13,11,13,8,11,7,4,5,7,7,9,3,7,7,4,6,5,9,2,3,10,4,2,3,2,0,4
S01006573,,719,,5,7,5,8,6,10,10,8,14,11,9,14,13,12,11,11,13,14,7,7,4,6,7,2,10,9,11,8,8,7,7,8,8,7,9,12,9,4,7,9,15,20,16,9,13,15,20,11,21,18,12,16,13,11,10,12,13,6,10,7,3,6,7,7,7,2,5,7,8,1,5,1,3,5,4,5,5,3,2,3,1,1,3,2,3,0,1,1,0,1,2
S01006574,,991,,14,6,11,8,15,5,8,11,10,8,16,12,14,18,17,17,20,14,12,11,8,3,8,6,14,11,12,13,12,15,2,11,14,7,11,12,9,11,12,13,15,10,18,16,21,15,10,16,16,23,20,27,13,16,22,16,16,13,16,13,7,10,16,11,17,16,3,9,9,7,6,6,5,7,5,3,4,6,4,6,5,5,6,5,2,8,2,3,2,2,11
S01006575,,948,,11,13,16,4,12,7,9,9,7,11,12,16,8,16,14,14,10,12,7,10,9,10,9,26,25,20,10,24,12,15,16,15,15,13,12,15,9,26,17,13,10,9,15,11,17,13,18,18,22,21,18,14,12,5,14,16,10,11,7,9,10,9,6,7,11,7,4,7,9,6,7,6,6,5,2,6,6,3,1,7,2,3,3,2,4,4,0,1,0,0,5
S01006576,,722,,6,7,6,6,12,6,9,12,13,12,9,9,13,6,9,4,9,8,3,5,17,12,7,13,11,8,19,9,18,9,14,24,12,3,9,12,13,11,21,11,18,11,14,24,18,8,11,9,6,8,9,13,9,8,13,8,6,7,8,8,5,3,5,6,1,5,3,7,6,5,2,6,2,1,0,2,3,3,0,5,2,1,4,4,0,1,1,1,3,1,1
S01006577,,760,,10,9,6,5,3,6,4,4,7,3,6,10,4,7,2,3,9,5,5,7,5,13,19,22,20,24,27,27,33,21,28,20,22,5,18,12,11,7,8,8,8,13,13,7,12,9,13,7,8,10,12,7,11,12,14,6,12,8,6,9,5,10,2,5,5,4,3,4,2,1,6,7,1,5,8,2,4,2,3,0,1,4,3,0,1,3,2,1,0,2,2
S01006578,,"1,087",,12,8,4,6,6,2,6,2,3,1,6,3,3,2,8,0,5,4,9,17,28,32,27,36,46,41,55,53,50,44,41,31,30,18,24,19,22,19,15,14,11,12,9,12,10,23,10,7,11,5,5,10,8,8,7,6,8,6,10,6,9,10,10,5,9,5,4,5,2,3,6,2,2,1,4,3,5,2,5,7,3,1,2,4,5,2,3,4,3,2,23
S01006579,,927,,5,6,5,5,6,2,9,2,1,0,3,1,1,1,1,1,0,2,5,19,23,32,29,35,48,53,55,49,35,41,43,35,21,31,14,25,18,9,18,20,14,12,5,9,4,7,18,12,8,6,6,6,6,5,7,5,8,4,3,6,3,3,4,4,2,2,1,1,5,0,2,1,3,1,3,0,3,4,2,5,2,1,4,1,4,1,3,0,1,0,1
S01006580,,736,,3,3,7,3,9,3,4,5,6,3,6,7,6,3,3,5,4,7,3,8,12,7,14,17,24,17,25,27,21,34,25,29,23,14,23,7,12,11,13,11,11,10,19,9,9,11,11,8,5,3,10,12,9,6,12,3,11,7,10,12,4,4,6,5,5,6,2,4,4,3,0,0,2,3,7,2,2,1,4,1,0,5,0,3,3,1,1,1,0,0,5
S01006581,,905,,4,5,5,8,6,9,5,7,13,11,14,10,16,12,10,14,14,15,7,6,9,8,8,8,6,2,12,6,9,12,11,6,12,8,7,9,12,13,17,12,9,9,13,14,26,15,16,16,20,33,18,16,12,17,15,20,10,13,18,15,2,4,9,14,18,8,7,9,8,8,8,7,12,6,5,4,4,4,7,6,4,8,3,6,5,6,3,1,2,4,10
S01006582,,859,,12,11,4,7,7,1,1,2,2,1,1,3,1,3,5,1,2,5,7,11,21,31,35,38,39,48,36,33,39,41,31,12,37,25,19,23,22,13,13,9,11,7,4,11,12,11,10,4,5,6,5,9,5,5,10,10,12,7,6,4,6,3,5,6,3,2,2,1,1,0,1,1,2,1,0,2,3,2,3,3,1,1,1,1,1,0,0,0,0,0,1
S01006583,,716,,4,4,3,2,2,4,2,3,1,2,1,1,1,0,2,1,2,2,8,29,45,48,42,32,38,27,37,30,43,29,39,28,11,9,7,19,17,7,11,6,7,6,5,5,12,5,7,2,3,4,3,1,9,0,2,2,2,4,5,3,1,1,1,2,1,1,1,0,2,3,1,2,1,0,0,1,2,1,2,0,1,0,0,1,0,3,0,0,2,0,0
S01006584,,625,,11,5,7,3,6,2,3,2,3,2,3,0,6,3,4,0,7,3,8,22,28,28,20,23,28,21,24,18,26,21,27,12,16,14,13,18,4,6,9,3,6,3,9,8,9,13,5,8,9,6,6,7,2,6,3,8,2,4,3,5,4,2,6,3,4,2,2,3,1,1,0,0,2,0,2,1,2,1,0,3,2,0,1,0,0,0,0,1,1,0,0
S01006585,,785,,5,7,5,3,0,2,6,2,7,3,2,6,4,6,4,3,4,5,8,20,29,32,22,29,28,37,28,16,19,21,23,27,19,4,12,9,12,14,11,14,7,6,7,7,4,5,5,4,13,7,7,8,3,2,5,6,12,10,8,5,9,9,10,12,7,6,5,6,4,10,8,2,3,4,6,4,8,5,3,6,2,3,3,1,1,2,5,1,0,0,1
S01006586,,"1,029",,5,8,1,4,1,2,1,0,1,0,2,2,1,1,0,1,6,0,4,20,39,48,52,46,44,48,34,41,47,34,33,24,22,19,18,14,5,9,15,8,8,10,11,11,8,13,9,8,7,7,4,8,4,8,5,8,11,6,14,19,6,12,14,9,16,15,8,4,12,7,3,12,0,5,3,5,8,6,4,6,5,5,3,7,4,3,2,2,0,0,4
S01006587,,546,,10,7,7,0,2,3,0,0,0,0,0,1,0,0,2,2,1,0,7,8,17,26,21,37,35,34,27,29,25,21,20,18,16,8,9,10,12,9,7,4,1,10,10,7,2,3,6,5,3,4,6,8,1,2,2,3,4,3,0,3,4,3,4,3,1,1,1,0,1,0,0,1,0,4,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
S01006588,,587,,10,7,1,8,1,0,3,0,1,0,2,1,2,2,0,0,1,3,2,15,33,36,30,35,26,38,31,30,34,18,28,19,20,16,12,10,12,10,11,6,13,3,4,3,3,3,1,2,0,4,3,3,2,4,4,2,2,3,2,1,3,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01006589,,696,,8,5,3,3,2,7,2,2,3,4,4,5,2,2,1,1,2,2,4,26,27,31,40,28,37,39,36,34,32,29,21,22,16,10,13,11,11,10,8,11,5,6,4,5,6,10,7,4,3,6,7,3,4,3,6,4,5,4,3,6,3,3,4,6,4,5,2,3,1,0,3,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0
S01006590,,711,,3,6,5,2,1,2,3,2,5,0,5,0,1,4,2,4,3,3,8,8,28,20,19,30,34,36,33,43,25,26,28,28,21,15,12,20,5,10,6,9,8,12,7,14,3,4,8,8,10,11,8,7,5,9,9,4,2,4,2,6,2,2,5,6,7,6,1,3,4,1,1,1,0,0,3,1,1,2,2,1,1,1,1,0,3,0,0,0,0,0,0
S01006591,,755,,21,9,3,7,7,3,4,2,2,2,5,5,5,7,2,5,3,2,5,18,27,14,29,27,28,34,32,21,28,28,20,25,11,26,16,15,15,15,10,13,9,4,14,12,8,5,6,10,5,8,4,6,17,9,7,8,7,8,7,4,4,3,9,5,5,3,5,0,3,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
S01006592,,693,,5,15,8,5,7,4,2,5,0,4,4,4,2,1,3,4,3,3,1,8,12,20,17,22,20,33,37,38,36,27,20,29,32,22,18,11,13,20,8,6,8,9,7,12,5,9,7,3,7,4,8,8,9,6,5,6,2,3,1,3,7,1,1,5,0,5,1,2,0,5,0,1,1,5,0,2,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0
S01006593,,759,,8,8,4,9,5,4,4,3,3,2,3,2,1,2,1,3,4,5,8,11,20,19,31,34,30,36,32,31,27,26,26,20,19,15,18,10,13,12,10,16,4,11,9,6,18,8,11,5,8,5,11,7,10,6,6,1,2,3,5,8,8,4,7,4,1,6,2,4,4,4,1,1,1,1,0,2,2,1,2,1,1,0,3,2,1,3,5,1,2,0,6
S01006594,,548,,8,4,5,1,3,1,1,2,2,1,1,2,1,2,1,1,2,0,5,3,19,18,15,10,17,16,11,13,20,16,13,15,17,16,7,7,11,5,6,10,3,6,9,6,4,4,3,6,4,2,1,6,10,8,0,5,8,7,3,2,1,10,7,1,7,6,4,6,3,7,3,11,3,4,7,7,1,5,8,4,3,3,6,3,5,5,5,3,1,1,3
S01006595,,932,,10,7,5,6,6,5,3,2,9,3,2,9,3,2,6,2,6,3,11,7,15,31,19,26,43,33,48,33,38,42,43,37,26,26,26,19,14,15,11,12,8,11,11,13,9,7,12,11,10,15,8,7,13,4,11,6,8,6,7,4,5,9,10,9,5,5,3,0,3,1,3,3,3,4,1,1,0,5,2,1,1,2,1,1,2,2,0,1,0,1,3
S01006596,,720,,8,8,8,8,10,7,3,3,1,5,4,7,0,5,1,4,6,2,0,8,5,14,12,17,29,24,30,23,14,18,8,11,19,21,15,14,15,20,14,14,12,12,11,5,16,11,8,11,11,5,9,8,6,12,9,10,6,4,8,9,9,6,4,5,3,7,2,3,1,3,1,1,2,0,3,2,4,3,1,3,4,4,3,2,1,2,3,1,1,6,12
S01006597,,512,,4,4,3,3,1,0,1,2,0,0,1,0,1,0,1,1,2,1,3,8,14,18,21,21,25,29,22,28,25,20,23,22,16,18,15,13,8,7,9,7,5,9,3,9,5,2,4,4,1,8,0,4,7,4,3,2,3,1,2,8,2,1,1,1,0,2,1,1,0,1,4,2,1,2,2,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,3
S01006598,,971,,18,16,14,14,13,9,9,8,8,3,8,10,7,3,13,5,9,5,9,13,6,10,8,13,8,12,24,16,17,13,13,26,22,16,12,20,14,19,22,11,24,15,16,11,16,11,16,11,17,20,14,11,18,17,11,14,17,13,11,13,17,8,11,19,14,7,6,7,11,7,5,6,11,4,6,10,3,5,3,3,2,3,4,2,2,0,1,2,0,0,0
S01006599,,800,,6,1,6,8,4,4,3,0,0,2,1,3,3,2,1,2,3,4,4,9,25,11,24,17,26,22,25,24,15,14,20,17,17,16,11,8,14,12,16,12,7,10,11,7,8,5,10,8,6,7,11,8,11,12,10,13,6,10,12,6,13,8,7,9,13,2,4,8,4,6,7,13,9,1,2,8,6,10,13,6,10,5,5,8,7,5,3,5,2,3,8
S01006600,,"1,096",,7,5,6,6,12,5,12,4,9,5,5,4,7,10,10,12,4,6,7,13,20,9,17,19,14,17,15,21,21,19,13,22,29,27,22,14,21,14,22,15,14,19,16,11,13,12,10,15,25,11,7,21,9,15,13,18,13,10,6,7,8,9,9,12,9,13,5,3,3,8,7,14,9,8,10,8,15,9,11,16,14,16,13,11,11,14,9,5,7,3,22
S01006601,,"1,005",,9,14,4,6,7,10,4,4,4,5,3,4,9,7,9,7,7,7,9,15,18,14,9,35,26,21,27,20,30,29,25,25,23,20,18,21,15,13,20,8,11,14,20,11,15,15,19,17,19,20,14,13,12,12,16,11,13,9,7,8,7,11,9,8,12,5,4,10,11,9,7,5,9,4,6,5,2,7,8,4,4,4,5,1,2,5,1,0,0,0,3
S01006602,,874,,7,11,9,11,7,9,10,10,3,8,5,13,5,6,9,10,11,13,5,10,3,6,6,13,4,12,11,13,11,12,11,14,6,13,14,19,12,10,13,13,19,14,15,12,12,12,15,15,13,12,13,14,11,12,12,18,9,7,2,12,11,5,10,7,10,5,3,6,3,5,6,9,7,8,11,2,8,5,11,13,7,8,11,9,3,8,7,7,6,5,21
S01006603,,853,,8,12,11,11,7,8,5,10,7,11,6,10,9,12,9,6,11,7,13,9,12,10,8,8,8,21,10,11,14,18,12,12,13,8,12,9,4,7,11,12,12,13,7,10,13,10,16,15,14,12,15,13,12,12,7,14,11,5,8,9,9,13,14,15,12,4,12,6,13,7,4,7,3,10,13,9,7,8,12,11,5,6,3,5,1,3,1,6,0,0,4
S01006604,,672,,10,8,1,8,6,6,4,3,5,5,3,6,5,4,11,6,10,16,15,10,6,5,14,6,4,8,7,10,7,7,8,6,4,6,6,6,7,4,9,7,9,13,14,9,6,10,5,17,9,11,12,15,15,12,14,14,12,8,6,8,8,7,9,6,17,8,8,5,12,4,7,7,10,9,6,6,2,8,6,3,5,2,3,4,1,2,3,1,1,2,2
S01006605,,804,,15,11,13,11,10,10,3,6,5,7,2,8,5,10,8,8,4,6,8,12,4,5,10,14,16,21,11,23,17,17,12,14,9,9,9,13,5,15,8,9,10,7,12,6,5,13,8,10,9,14,15,16,18,7,10,7,5,5,2,5,11,4,4,6,7,11,7,6,7,5,6,8,7,9,8,10,11,8,9,8,10,3,4,2,9,7,7,3,3,6,11
S01006606,,828,,9,13,8,1,5,8,3,5,10,4,4,5,4,5,7,5,7,9,7,8,7,12,9,7,9,11,6,10,10,6,5,14,5,7,9,15,8,8,9,5,12,17,8,12,14,19,22,12,9,8,7,8,11,11,19,12,13,14,13,5,8,12,14,13,16,10,9,14,10,10,8,10,9,15,12,11,9,10,14,8,5,3,9,8,11,6,8,2,1,3,5
S01006607,,919,,14,10,9,14,11,9,8,9,12,10,8,10,9,11,9,9,13,5,17,14,15,6,12,12,15,7,6,12,11,11,9,17,6,6,8,6,10,9,11,10,11,20,14,11,15,16,27,27,16,16,16,13,20,11,14,13,8,11,12,10,3,12,9,6,8,8,5,10,4,12,7,14,5,13,15,9,7,10,7,4,7,3,1,12,2,4,2,0,4,1,4
S01006608,,738,,12,11,6,11,8,10,5,8,14,9,6,11,9,5,11,5,6,9,12,10,11,11,5,12,7,2,7,13,6,6,5,10,9,9,14,4,3,9,10,12,12,16,11,11,14,9,10,11,12,10,9,8,10,8,18,6,9,15,10,13,6,13,13,10,11,8,9,6,8,8,15,10,7,6,6,7,3,6,2,3,3,4,0,3,4,1,0,1,0,0,0
S01006609,,"1,072",,22,5,8,14,12,10,7,13,6,7,13,14,5,12,15,19,10,8,14,16,12,9,9,17,14,10,15,9,16,13,11,18,7,16,18,8,6,16,8,10,13,15,9,16,23,20,18,17,15,16,19,14,15,19,14,20,9,17,6,8,8,17,16,15,25,14,5,5,11,7,15,12,10,9,15,14,15,9,14,13,9,12,7,2,4,4,5,2,1,0,2
S01006610,,447,,7,5,5,5,6,3,3,3,5,6,8,2,1,5,1,3,4,3,6,8,8,10,6,4,4,11,6,3,6,6,8,3,7,5,2,5,2,3,6,4,4,10,5,2,10,3,8,6,7,9,7,10,9,4,10,6,6,5,4,5,3,4,4,5,4,1,3,1,1,3,6,7,7,5,9,5,5,8,8,6,5,3,3,1,4,1,1,1,2,0,3
S01006611,,921,,7,14,10,13,10,9,4,10,16,13,3,7,12,7,6,8,15,10,14,16,6,7,9,6,14,9,17,16,18,16,18,12,9,12,11,14,8,8,18,5,14,8,14,16,14,10,11,14,12,17,14,18,15,21,16,13,13,11,6,9,4,8,8,9,10,4,5,5,3,10,6,5,10,7,10,12,10,9,9,10,18,5,6,7,4,7,2,2,2,3,8
S01006612,,851,,14,2,6,8,5,8,6,7,8,7,5,10,6,8,5,10,9,16,10,10,13,11,9,11,12,8,7,11,12,9,10,12,7,17,12,10,10,14,11,12,11,16,10,11,17,17,14,17,19,18,13,20,7,18,9,13,9,14,12,11,5,11,9,11,15,8,7,11,7,4,2,7,4,10,12,7,6,10,4,5,4,10,6,7,5,1,3,2,1,1,2
S01006613,,616,,7,10,4,5,8,5,6,9,11,9,6,4,9,6,12,12,6,12,8,1,8,7,8,7,17,8,12,7,5,4,7,7,11,9,12,12,9,8,7,14,9,7,11,12,11,10,21,16,16,15,13,17,9,11,11,6,3,4,8,3,4,9,5,5,6,4,2,5,2,2,1,0,1,3,4,6,3,1,6,1,2,1,0,1,0,0,0,0,0,0,0
S01006614,,664,,10,17,15,10,8,7,18,12,11,14,9,10,11,10,10,8,5,4,6,4,3,2,1,4,3,5,7,10,9,9,13,15,19,17,16,12,15,22,6,25,16,18,28,9,17,12,9,6,12,12,9,10,11,10,6,7,4,7,5,4,2,5,4,3,3,1,2,5,3,1,0,1,2,0,1,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,1
S01006615,,801,,16,19,17,21,21,12,10,7,10,12,16,17,10,17,14,14,11,10,7,1,7,5,5,8,3,5,4,12,7,11,7,16,24,18,19,16,9,19,22,21,21,19,18,29,12,18,19,14,11,7,5,7,9,10,10,7,7,7,5,5,7,7,4,3,6,1,4,0,2,4,1,2,2,3,3,2,0,1,1,1,2,1,2,0,1,0,0,0,1,0,0
S01006616,,797,,11,9,9,6,9,9,5,6,4,7,8,10,7,9,10,7,13,14,7,10,12,11,16,13,17,22,17,26,17,13,13,18,15,13,8,7,8,9,7,5,13,18,10,19,22,14,13,13,19,23,13,21,16,18,18,13,5,10,10,7,7,5,4,1,10,4,4,5,3,1,3,1,2,2,3,2,1,0,1,1,0,2,1,0,0,1,0,0,1,0,0
S01006617,,683,,6,6,6,5,5,4,8,10,4,7,11,13,4,5,10,8,7,9,10,7,6,13,7,5,10,4,4,5,5,6,6,4,6,7,16,6,7,8,9,4,9,10,12,12,16,11,14,15,14,17,9,10,11,8,10,13,10,8,11,8,12,15,7,15,13,5,6,5,3,5,6,5,9,5,4,9,9,5,5,4,4,5,0,2,5,2,3,1,1,1,1
