"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Area Name,Council Area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+,,
S01006560,Midstocket - 03,Aberdeen City,"1,018",,13,13,12,16,9,15,19,9,14,17,8,15,13,14,6,8,12,10,4,9,7,11,8,20,13,13,16,12,11,17,13,8,17,14,27,19,12,21,3,18,5,16,14,7,19,10,20,16,29,19,7,16,10,10,22,16,14,11,8,10,9,7,13,9,9,12,13,13,9,11,13,9,5,4,15,7,4,5,0,5,5,6,2,2,5,4,4,5,4,1,13,,
S01006561,Midstocket - 04,Aberdeen City,728,,10,8,14,9,6,6,6,9,1,15,8,10,14,8,8,5,9,2,11,10,4,6,1,6,6,9,8,6,8,0,7,3,13,6,8,15,16,15,10,6,9,10,6,6,10,16,14,7,5,13,11,15,12,8,17,11,9,16,14,11,13,6,7,3,9,11,20,9,14,11,5,4,6,5,4,6,7,6,4,3,1,4,3,5,4,3,2,3,1,0,7,,
S01006562,Midstocket - 05,Aberdeen City,972,,11,12,13,8,17,16,10,12,9,8,13,9,15,9,12,7,10,8,10,10,6,1,1,2,10,14,12,18,7,11,7,13,9,8,17,5,11,15,17,11,24,10,19,15,18,12,19,19,11,8,18,14,23,12,18,11,9,13,21,16,14,8,13,17,17,11,13,10,8,6,9,10,8,9,8,8,5,6,6,13,6,5,5,5,4,5,6,0,5,3,5,,
S01006563,Midstocket - 06,Aberdeen City,677,,8,13,6,9,6,3,9,10,17,10,18,10,11,11,9,6,6,2,5,3,3,6,3,7,6,13,9,8,5,4,12,12,14,8,15,13,2,14,8,9,19,8,16,8,6,10,10,12,5,17,8,9,5,9,8,3,9,5,8,4,5,9,8,4,3,9,8,7,5,5,8,3,10,3,4,9,1,7,9,3,9,1,7,3,1,7,3,0,0,0,4,,
S01006564,Rosemount - 01,Aberdeen City,"1,007",,6,6,5,5,7,9,9,9,13,5,5,9,5,7,2,5,3,5,4,4,13,12,15,28,28,38,41,36,34,34,37,37,33,18,22,32,13,19,15,19,3,7,13,17,4,14,9,9,14,15,14,5,14,10,13,11,9,17,11,6,4,8,10,10,4,9,5,6,12,5,3,4,5,5,4,4,3,3,4,4,2,7,3,10,5,3,0,2,0,1,0,,
S01006565,Rosemount - 02,Aberdeen City,"1,000",,4,5,7,1,9,8,2,4,4,2,1,4,2,1,0,1,1,3,18,27,45,54,62,59,47,49,37,43,43,41,33,17,33,12,25,13,11,12,9,8,6,10,9,9,16,7,7,12,16,9,5,13,3,9,7,8,5,3,7,1,6,8,1,5,4,2,7,4,6,4,3,4,0,2,3,6,3,1,1,2,1,0,1,2,1,0,1,0,2,0,1,,
S01006566,Rosemount - 03,Aberdeen City,761,,7,5,7,8,10,1,1,3,2,3,1,1,2,3,4,7,7,7,3,4,15,11,17,21,16,24,24,30,29,35,14,31,19,31,31,25,16,14,15,12,8,8,5,2,6,9,6,2,10,6,11,4,8,8,7,5,4,9,5,4,8,9,9,5,9,2,5,8,7,7,7,5,7,5,1,3,4,2,1,0,1,2,2,3,1,1,1,1,0,1,1,,
S01006567,Rosemount - 04,Aberdeen City,744,,4,6,3,7,1,6,4,2,0,3,2,1,3,1,3,2,3,3,2,8,23,30,24,29,35,31,25,42,36,24,30,17,21,7,5,9,10,5,4,7,5,6,5,9,5,10,7,7,3,12,5,4,4,12,16,13,9,4,4,12,4,5,10,1,5,5,8,6,2,4,8,3,7,4,2,1,3,6,2,2,3,4,2,2,0,5,1,2,5,1,1,,
S01006568,Rosemount - 05,Aberdeen City,921,,6,4,3,4,7,0,4,2,7,2,9,2,2,3,3,1,3,4,4,6,15,13,18,27,27,48,44,58,66,52,39,40,50,20,27,24,12,29,10,17,9,5,0,10,16,5,8,2,12,7,6,7,10,4,11,1,3,4,4,10,9,10,6,7,4,9,5,4,1,4,1,1,0,3,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,2,,
S01006569,Rosemount - 06,Aberdeen City,561,,7,3,4,2,2,3,4,6,4,3,0,5,2,3,3,0,1,3,4,3,8,12,18,9,20,25,24,15,20,21,13,18,13,13,8,25,10,9,10,5,7,2,9,9,5,5,3,8,1,2,2,6,9,4,9,8,3,4,3,12,7,3,8,4,4,6,2,6,4,2,4,3,3,4,3,6,1,3,1,3,0,3,2,3,1,2,0,0,0,1,3,,
S01006570,Rosemount - 07,Aberdeen City,739,,12,8,8,4,7,10,0,8,11,4,8,4,7,9,6,6,8,5,5,3,6,8,9,1,11,12,14,24,23,26,20,13,24,13,13,13,17,7,11,6,10,10,2,8,7,14,20,11,17,11,14,10,9,7,11,14,11,7,11,3,14,10,6,5,3,5,9,4,5,1,4,7,4,4,5,5,2,2,3,1,3,2,4,5,2,2,0,4,3,2,2,,
S01006571,West End North - 01,Aberdeen City,911,,11,5,4,9,13,9,8,10,9,7,15,15,13,9,15,6,7,14,3,13,7,7,14,4,11,23,29,18,16,15,19,24,18,8,10,6,25,22,17,13,7,7,13,14,12,20,18,21,8,12,14,15,18,14,12,8,5,9,13,10,11,6,11,5,9,5,15,3,11,8,7,5,4,8,2,6,7,4,0,2,2,4,2,4,4,4,3,1,2,1,4,,
S01006572,West End North - 02,Aberdeen City,957,,2,5,9,4,14,9,4,14,11,14,26,10,16,7,13,10,13,11,4,10,6,4,5,10,17,7,15,21,9,13,9,8,3,7,6,15,8,12,20,4,14,8,13,16,14,21,10,19,8,12,23,27,25,15,15,21,22,19,15,18,7,14,14,10,5,6,12,10,6,13,11,7,12,5,8,5,4,6,8,9,8,4,6,7,3,2,3,5,0,0,7,,
S01006573,West End North - 03,Aberdeen City,790,,8,9,9,13,8,6,6,11,6,15,12,11,20,13,14,17,6,16,8,9,10,12,4,7,16,13,9,6,6,3,9,6,8,10,9,5,2,11,6,10,10,17,11,7,13,10,19,25,11,14,16,14,22,14,19,23,12,15,8,11,7,13,14,2,7,3,2,3,9,7,6,2,5,6,6,0,4,1,2,5,3,3,2,2,1,0,0,0,1,1,3,,
S01006574,West End North - 04,Aberdeen City,"1,017",,13,9,9,11,4,16,15,20,13,16,14,6,10,7,12,9,23,14,12,9,12,11,11,10,10,12,13,9,8,7,19,19,15,16,11,17,9,12,12,9,10,8,16,16,10,17,19,6,20,17,22,14,13,8,18,23,15,18,15,12,17,13,12,8,14,9,5,8,14,11,8,12,1,4,6,5,5,6,4,8,3,3,5,6,4,5,3,3,6,4,24,,
S01006575,West End South - 01,Aberdeen City,981,,12,15,7,8,16,12,7,15,16,6,16,6,9,6,6,10,9,13,6,14,12,4,11,8,21,18,17,19,19,28,26,24,7,20,18,12,26,14,22,14,6,19,10,23,23,12,6,6,21,8,15,11,17,11,21,20,15,11,10,10,11,14,4,5,6,7,5,7,4,6,14,5,5,5,8,6,4,4,5,5,1,4,3,4,1,4,0,4,3,0,3,,
S01006576,West End South - 02,Aberdeen City,730,,5,8,7,16,16,13,8,12,6,4,8,6,5,10,10,8,8,5,4,4,8,5,10,6,6,14,23,13,17,12,21,9,17,11,18,10,20,19,13,12,15,5,9,12,27,12,9,7,13,20,7,8,11,6,4,9,10,8,10,5,12,8,6,3,6,5,7,3,2,4,0,5,1,4,3,5,1,4,2,1,0,1,0,3,0,3,1,0,2,1,3,,
S01006577,West End South - 03,Aberdeen City,814,,7,12,7,9,6,9,7,8,10,11,4,7,7,8,13,6,2,8,5,1,8,10,9,5,20,21,35,20,28,42,30,25,14,17,20,9,20,16,25,5,9,7,9,8,6,5,11,10,15,8,8,4,11,6,9,9,12,4,10,11,11,10,9,5,6,8,3,7,2,2,3,5,2,4,0,1,5,7,1,4,2,1,2,2,3,0,0,3,1,0,7,,
S01006578,West End South - 04,Aberdeen City,"1,105",,12,6,4,6,8,6,5,4,3,9,2,3,6,2,7,1,4,3,2,7,25,16,25,22,25,58,67,45,54,48,45,33,41,37,52,29,29,31,1,9,20,5,19,18,14,7,7,7,7,4,7,18,9,8,17,4,7,8,9,10,7,10,6,8,6,6,9,9,4,3,7,3,4,4,0,1,3,2,0,0,0,1,1,0,2,3,1,0,2,1,5,,
S01006579,West End South - 05,Aberdeen City,"1,048",,3,7,7,3,7,13,3,0,2,1,6,3,8,7,0,0,0,2,0,4,14,13,26,21,27,49,42,49,51,44,60,59,44,46,31,29,51,23,26,16,3,13,22,13,18,9,12,8,7,3,3,4,13,13,6,14,6,6,2,3,3,5,6,2,1,7,2,3,6,1,0,2,2,2,4,0,2,1,2,2,1,0,3,4,1,2,2,2,0,2,3,,
S01006580,West End South - 06,Aberdeen City,724,,3,9,1,8,14,3,2,5,7,2,6,4,4,6,3,4,7,4,3,1,4,4,15,3,18,16,25,20,31,28,26,26,18,23,16,25,26,11,19,13,16,9,8,6,17,10,11,7,16,5,8,5,8,11,2,5,6,11,6,6,6,3,9,5,7,6,5,3,4,1,5,4,1,3,3,1,0,0,0,1,7,1,2,0,3,1,0,4,0,1,2,,
S01006581,West End South - 07,Aberdeen City,949,,8,9,8,8,9,13,7,13,5,8,4,15,7,9,10,7,15,7,14,7,5,12,9,5,8,7,10,11,13,9,15,6,14,12,13,8,20,7,16,8,13,13,19,18,12,7,14,8,17,12,22,18,13,17,25,33,13,17,15,15,17,22,12,13,12,14,3,4,7,12,14,7,6,7,8,6,6,5,13,5,5,6,2,3,4,4,2,4,1,2,11,,
S01006582,City Centre West - 01,Aberdeen City,820,,4,9,6,4,3,8,4,10,2,3,6,3,0,1,2,0,1,4,4,7,13,18,14,25,28,36,40,39,46,39,40,38,23,6,23,21,17,6,20,19,8,7,19,7,4,5,5,8,10,12,3,10,4,4,5,6,5,7,3,8,6,9,11,7,5,2,7,2,2,5,6,3,5,0,1,0,0,1,2,1,0,3,3,1,2,1,0,0,1,0,2,,
S01006583,City Centre West - 02,Aberdeen City,695,,2,5,9,2,7,7,2,2,4,2,4,4,4,2,3,3,2,3,7,23,38,41,36,27,30,22,32,25,34,24,31,23,10,7,6,16,17,10,11,11,11,12,10,4,9,7,7,7,4,6,8,6,7,2,3,4,2,3,6,0,1,3,1,2,5,1,1,1,0,2,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,2,,
S01006584,City Centre West - 03,Aberdeen City,612,,4,2,2,4,2,0,9,4,6,1,3,1,3,1,2,0,4,4,4,18,24,24,17,20,24,18,21,16,20,18,23,12,13,12,11,14,12,18,13,8,15,8,10,2,8,0,8,5,6,6,9,11,3,8,10,9,6,9,1,6,5,11,2,3,5,6,1,0,5,2,3,2,2,0,0,1,0,0,2,0,2,1,2,1,0,2,2,0,0,0,0,,
S01006585,City Centre West - 04,Aberdeen City,831,,6,6,6,8,7,10,4,6,6,5,0,4,8,4,6,3,3,4,2,10,16,20,15,18,24,23,39,47,38,40,34,29,33,20,16,6,21,19,5,6,14,9,10,8,7,19,1,5,3,10,4,1,5,4,10,8,3,7,2,2,7,8,9,3,4,3,7,7,7,9,6,3,3,3,3,7,2,2,2,2,3,2,6,2,2,2,2,2,0,0,4,,
S01006586,City Centre West - 05,Aberdeen City,"1,049",,4,6,5,1,7,2,1,4,1,2,4,1,4,0,2,0,0,2,4,19,39,50,55,47,45,48,38,44,48,36,36,26,23,20,18,15,12,12,9,14,10,4,6,2,11,11,12,8,13,12,4,6,5,4,9,5,5,8,6,8,8,4,12,6,15,12,6,10,17,9,15,12,7,2,8,5,3,9,0,4,1,4,2,3,2,4,2,2,1,4,7,,
S01006587,City Centre East - 01,Aberdeen City,571,,5,5,5,5,1,6,5,4,4,0,4,1,0,2,1,0,1,2,7,7,16,25,20,38,33,32,26,27,24,20,18,18,15,8,9,10,5,10,3,9,10,11,10,4,6,5,4,7,11,4,3,4,3,1,2,3,8,7,2,2,3,1,4,2,0,3,1,5,4,3,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
S01006588,City Centre East - 02,Aberdeen City,626,,4,2,4,4,4,3,4,1,1,5,0,4,1,1,1,2,0,3,2,13,32,36,30,36,26,36,30,30,33,21,27,19,20,16,11,9,9,12,7,10,4,6,9,7,5,4,9,3,2,1,5,5,2,1,2,6,3,3,3,4,4,4,3,2,6,1,2,3,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
S01006589,City Centre East - 03,Aberdeen City,680,,8,5,3,9,6,6,7,8,2,3,1,7,2,1,1,3,5,3,3,19,22,27,35,23,32,33,31,29,28,25,18,18,13,9,11,10,10,13,9,10,9,5,14,9,6,8,0,5,9,6,5,10,5,6,1,7,5,3,1,3,7,3,5,2,2,5,2,2,3,7,3,4,1,2,0,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,1,,
S01006590,City Centre East - 04,Aberdeen City,801,,5,4,4,2,3,4,1,4,6,0,2,3,2,2,3,2,8,0,5,6,10,25,26,14,26,31,42,40,46,40,31,31,29,29,29,19,19,27,19,14,11,11,8,4,7,6,4,6,4,16,2,3,7,6,8,5,6,8,6,6,8,2,5,2,1,3,0,3,5,2,4,3,1,1,0,0,1,0,0,0,2,1,1,1,2,0,1,1,2,0,2,,
S01006591,Ferryhill North - 01,Aberdeen City,744,,7,7,7,8,5,7,13,5,1,7,2,4,3,2,1,4,4,3,1,6,13,16,16,13,12,32,36,19,39,20,29,32,22,23,26,15,19,20,13,16,6,11,9,14,11,6,6,4,12,9,7,5,4,6,9,6,5,5,13,5,6,5,1,8,4,3,3,3,9,3,4,3,3,0,4,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,,
S01006592,Ferryhill North - 02,Aberdeen City,742,,14,8,0,5,6,6,2,2,4,3,3,1,2,4,0,3,3,3,2,1,16,12,13,22,19,24,25,36,29,32,40,34,28,31,28,21,9,18,28,15,6,11,6,23,8,5,8,4,6,7,7,12,4,5,10,5,9,4,8,4,0,3,2,2,1,0,4,1,0,6,0,3,0,2,0,5,0,0,1,4,0,1,0,0,1,0,0,0,0,1,1,,
S01006593,Ferryhill North - 03,Aberdeen City,837,,12,12,7,7,3,4,6,4,8,5,7,1,2,3,4,0,6,2,1,5,7,13,5,14,22,29,45,36,40,42,32,40,33,39,23,22,25,17,12,15,14,13,8,8,7,12,3,8,4,3,14,8,12,5,5,5,11,8,5,8,4,1,2,0,1,6,6,3,6,3,1,6,2,5,3,4,2,0,1,0,0,3,0,1,0,1,1,0,0,1,3,,
S01006594,Ferryhill North - 04,Aberdeen City,534,,5,5,4,5,0,1,1,3,5,2,4,0,3,1,4,0,0,3,3,3,6,6,2,10,18,21,16,22,22,10,18,11,15,14,14,6,6,7,10,8,6,2,10,3,2,4,1,6,11,3,5,7,2,4,7,1,2,4,7,7,3,6,6,7,2,3,1,14,10,1,6,5,3,6,1,10,3,11,4,4,5,7,3,2,6,3,2,1,2,2,7,,
S01006595,Ferryhill North - 05,Aberdeen City,956,,7,6,14,12,5,6,9,6,6,7,6,0,4,1,8,2,4,10,3,2,11,12,15,19,23,24,28,54,31,41,48,24,31,30,40,33,29,20,20,17,20,12,14,11,14,11,5,10,7,13,4,7,10,10,9,15,8,8,10,5,13,6,6,5,6,1,4,6,8,7,3,5,1,0,3,1,2,1,0,3,0,0,1,0,0,1,0,1,0,0,1,,
S01006596,Ferryhill North - 06,Aberdeen City,784,,5,11,7,8,5,10,9,9,12,7,9,4,5,8,3,4,4,5,2,0,6,7,5,14,9,14,16,16,29,14,29,30,34,14,16,19,9,14,11,18,7,15,9,19,11,12,15,11,11,8,12,7,9,13,11,7,6,4,5,9,9,7,6,4,6,7,9,5,6,3,3,8,1,2,1,4,1,2,2,0,1,1,4,6,2,2,5,2,2,3,18,,
S01006597,Ferryhill North - 07,Aberdeen City,530,,2,5,2,2,4,4,1,3,0,4,0,1,1,4,0,1,2,3,1,4,2,15,12,13,19,15,28,23,33,23,33,31,15,19,14,11,10,11,8,8,5,5,6,5,12,6,3,8,3,5,3,3,5,6,2,8,4,6,9,6,1,0,1,1,1,7,1,1,0,0,0,2,0,2,0,1,4,2,0,3,1,1,1,0,0,0,0,0,0,1,2,,
S01006598,Ferryhill South - 01,Aberdeen City,"1,017",,7,14,18,12,10,11,17,14,12,13,17,10,12,10,6,6,9,8,4,4,5,5,6,5,6,13,17,15,14,18,18,11,26,19,15,13,12,14,28,12,19,22,15,25,28,14,16,11,16,8,19,15,15,14,17,15,11,12,19,18,12,11,12,15,8,11,14,0,7,18,13,1,7,5,9,6,5,5,7,4,5,10,1,4,3,2,2,2,2,1,0,,
S01006599,Ferryhill South - 02,Aberdeen City,812,,5,10,6,1,3,4,7,4,5,6,3,3,1,3,0,1,0,3,2,3,5,17,27,5,6,25,22,23,23,33,25,24,28,24,14,10,20,15,4,17,7,11,9,12,11,11,8,13,14,8,5,7,17,8,4,7,9,13,13,13,4,13,8,10,11,10,6,8,6,7,9,4,3,7,3,6,3,10,5,0,2,4,5,3,8,4,5,1,2,0,8,,
S01006600,Ferryhill South - 03,Aberdeen City,"1,238",,11,11,10,4,9,8,2,0,9,6,10,7,10,4,12,2,6,7,14,21,35,11,17,25,24,30,38,26,29,26,27,21,22,22,29,27,11,26,18,21,10,8,16,9,15,14,11,21,16,12,16,12,12,15,26,11,9,16,7,13,13,16,9,14,8,7,1,7,11,7,15,13,5,4,5,11,6,16,14,5,6,9,16,10,15,15,9,9,7,7,31,,
S01006601,Ferryhill South - 04,Aberdeen City,"1,038",,8,7,5,10,11,10,5,13,3,6,5,10,6,5,3,1,5,7,8,5,18,20,8,20,16,27,29,21,22,28,22,31,25,13,26,21,30,26,13,14,16,21,10,13,18,7,13,15,16,14,15,13,22,18,14,16,20,12,13,13,15,7,12,7,6,7,7,9,4,8,9,5,2,9,11,8,5,3,8,3,4,5,0,5,5,3,2,1,3,0,3,,
S01006602,Ferryhill South - 05,Aberdeen City,896,,20,16,9,13,6,7,8,7,8,11,7,10,7,10,2,8,6,11,3,0,9,2,8,8,5,17,18,14,14,20,14,20,21,18,19,15,12,18,14,12,13,22,6,10,10,12,16,9,13,7,11,15,9,13,11,9,9,15,13,10,12,16,4,6,3,8,11,3,6,8,9,4,3,6,3,5,6,11,2,7,9,5,11,7,7,12,7,5,5,3,12,,
S01006603,"Kincorth, Leggart and Nigg North - 01",Aberdeen City,803,,15,6,7,14,7,8,9,8,9,16,7,5,2,7,9,7,7,9,6,8,8,13,2,4,14,17,13,10,17,5,11,21,8,13,21,15,9,7,12,11,8,9,5,8,10,11,8,13,6,10,11,10,18,9,10,12,14,10,12,12,4,10,7,5,9,8,9,6,12,10,9,5,9,6,10,5,5,7,2,9,11,5,6,4,8,6,2,2,1,4,4,,
S01006604,"Kincorth, Leggart and Nigg North - 02",Aberdeen City,653,,7,5,7,11,5,6,13,9,5,9,5,5,7,2,5,4,4,8,0,3,9,6,12,9,13,9,13,11,21,6,10,10,10,22,3,6,5,11,3,7,1,6,5,6,11,10,7,9,14,6,7,10,4,11,8,12,7,15,15,13,14,12,8,4,4,6,7,3,11,5,14,6,6,2,10,2,6,5,6,8,5,3,0,4,2,2,1,1,0,1,2,,
S01006605,"Kincorth, Leggart and Nigg North - 03",Aberdeen City,781,,7,13,16,14,15,15,11,11,8,9,3,10,3,10,6,6,1,7,6,5,9,5,5,7,8,17,14,12,4,9,20,24,11,23,17,13,13,13,6,7,11,14,6,16,10,9,9,5,11,7,4,13,6,11,7,12,10,11,18,6,7,9,3,8,1,5,10,4,5,3,5,8,5,3,5,4,5,3,5,11,6,6,4,7,4,5,9,5,3,3,11,,
S01006606,"Kincorth, Leggart and Nigg North - 04",Aberdeen City,794,,8,5,8,10,6,2,7,8,4,2,4,5,2,3,7,11,0,5,1,8,5,10,11,9,11,17,7,16,11,9,6,12,4,11,2,8,1,13,5,10,10,18,9,9,6,9,14,10,9,10,15,20,25,10,7,11,6,5,9,9,21,12,13,10,11,7,5,10,11,10,11,11,8,14,9,9,10,11,7,12,12,12,11,10,7,2,4,3,5,4,7,,
S01006607,"Kincorth, Leggart and Nigg North - 05",Aberdeen City,919,,12,12,10,11,6,8,14,7,10,9,11,11,9,6,12,9,5,4,8,9,8,13,8,1,14,16,15,9,22,15,19,15,8,10,21,12,20,22,10,10,9,6,15,8,13,12,11,20,15,6,12,16,25,22,12,15,21,13,16,11,12,8,6,8,10,6,2,10,6,4,7,4,2,9,3,10,7,11,4,4,13,6,6,6,6,2,4,3,1,6,4,,
S01006608,"Kincorth, Leggart and Nigg South - 01",Aberdeen City,"1,653",,28,42,32,31,14,22,22,26,20,20,16,17,16,15,20,15,8,18,9,6,17,9,19,18,32,26,41,49,36,49,33,28,47,36,38,40,33,33,33,35,20,21,15,21,16,20,29,14,23,18,19,16,17,21,17,15,18,16,15,11,13,10,11,18,11,13,7,17,15,12,13,10,10,8,7,9,13,8,3,6,7,4,2,3,0,2,4,3,0,0,3,,
S01006609,"Kincorth, Leggart and Nigg South - 02",Aberdeen City,"1,054",,11,12,6,12,13,11,14,13,12,9,12,12,8,13,9,8,11,15,4,8,12,6,8,16,14,13,16,14,21,22,24,16,12,7,11,12,18,15,10,14,22,8,8,14,14,12,18,12,9,20,24,20,16,13,15,16,15,12,13,20,13,18,9,17,7,9,5,17,14,12,20,10,5,3,8,5,11,8,4,6,7,8,9,6,9,8,3,6,2,0,0,,
S01006610,"Kincorth, Leggart and Nigg South - 03",Aberdeen City,431,,5,6,7,3,4,3,5,0,2,3,6,3,2,4,2,8,5,3,2,5,1,4,2,1,5,6,8,14,5,6,12,11,9,4,4,8,7,7,3,2,4,7,2,3,4,6,3,9,8,2,8,2,7,7,5,10,10,10,10,5,10,6,6,5,4,4,4,4,4,5,2,2,2,0,0,4,4,6,6,3,6,1,5,5,2,5,2,3,1,0,1,,
S01006611,"Kincorth, Leggart and Nigg South - 04",Aberdeen City,906,,8,9,18,14,13,11,11,12,9,13,16,10,5,10,8,8,3,5,11,6,2,11,10,11,17,23,17,16,12,10,12,12,21,13,15,21,22,14,11,17,14,13,10,8,23,4,9,9,11,10,16,6,8,16,17,18,12,16,11,15,13,12,10,12,4,7,1,4,6,7,2,3,5,3,3,7,4,3,8,5,9,5,6,5,4,5,9,3,2,2,4,,
S01006612,"Kincorth, Leggart and Nigg South - 05",Aberdeen City,858,,6,9,7,5,8,6,8,0,10,8,6,10,7,9,11,7,7,13,6,8,4,4,4,10,13,13,17,15,16,8,9,15,11,16,19,12,15,11,7,16,7,11,16,15,11,11,8,16,6,15,16,14,14,13,25,9,12,18,5,18,15,13,9,12,11,11,5,13,10,9,13,9,6,10,9,3,2,4,3,10,7,5,2,3,2,2,1,5,3,2,3,,
S01006613,Cove South - 01,Aberdeen City,591,,6,4,9,7,6,6,6,7,4,4,10,4,7,8,9,8,5,4,5,3,4,8,9,9,1,9,10,5,18,9,16,8,7,5,5,7,8,5,15,9,13,9,7,7,5,18,8,7,9,8,11,11,15,13,7,14,10,15,8,11,12,5,3,6,9,2,3,9,6,3,4,3,3,4,1,2,1,0,1,0,4,4,1,1,5,1,2,0,0,1,0,,
S01006614,Cove South - 02,Aberdeen City,669,,9,13,4,9,11,7,12,8,10,13,7,6,12,9,10,11,10,10,8,10,7,6,3,4,9,6,8,11,4,12,11,14,19,7,9,12,13,10,9,11,15,8,15,20,4,17,10,17,21,8,12,11,8,7,12,9,7,7,9,9,6,7,5,5,4,3,2,4,3,3,2,1,1,5,3,1,1,0,3,1,1,0,2,1,2,0,0,0,0,1,2,,
S01006615,Cove South - 03,Aberdeen City,838,,11,8,17,15,13,12,20,14,11,18,15,10,11,5,9,7,11,13,9,12,9,10,6,10,7,2,8,10,9,17,7,8,8,17,15,13,14,15,24,13,19,16,6,18,22,21,20,19,17,26,13,13,12,14,10,8,6,6,9,9,10,7,6,7,5,5,3,6,5,3,6,1,4,0,2,4,0,2,2,2,3,1,0,0,1,2,1,1,1,0,1,,
S01006616,Cove South - 04,Aberdeen City,747,,7,5,9,11,8,10,7,7,2,3,8,6,5,4,3,4,7,10,4,6,5,6,5,8,15,13,18,17,36,16,17,22,14,20,9,13,6,9,9,8,12,6,7,6,12,4,15,13,9,15,21,12,10,13,17,24,13,20,15,13,18,11,4,7,7,5,5,7,3,0,3,3,1,6,2,0,3,1,1,3,2,0,0,0,0,1,0,1,1,0,3,,
S01006617,Cove South - 05,Aberdeen City,635,,3,5,8,1,6,6,4,4,8,4,5,2,9,6,2,5,7,8,3,2,4,4,5,5,5,10,11,11,11,5,10,5,3,10,10,5,9,2,4,5,13,4,4,4,11,5,7,12,11,14,16,9,12,15,17,16,8,12,9,8,10,13,13,7,11,5,13,16,7,13,13,4,4,4,6,6,4,5,7,4,3,6,6,3,4,3,1,2,0,0,3,,
S01006618,Cove South - 06,Aberdeen City,474,,2,4,4,3,3,0,2,0,3,1,4,1,3,4,3,1,4,6,0,1,2,3,4,4,3,4,8,10,4,10,5,7,4,8,7,8,5,4,3,3,5,5,3,3,4,6,5,6,8,11,4,7,7,6,9,8,16,11,14,13,12,14,11,10,9,3,9,10,8,7,12,7,5,6,8,5,4,2,3,5,3,4,1,3,1,0,1,0,2,0,3,,
S01006619,Cove North - 01,Aberdeen City,869,,7,10,11,10,16,7,7,6,12,7,8,9,10,8,11,9,10,8,6,6,9,10,14,3,11,9,6,13,16,13,6,17,8,5,14,18,16,13,18,10,5,11,15,13,12,16,21,4,11,12,13,16,14,17,17,16,7,17,19,12,11,15,12,9,12,8,11,12,14,9,15,13,10,7,4,3,2,5,5,2,1,3,7,2,0,1,0,0,0,0,1,,
S01006620,Cove North - 02,Aberdeen City,786,,12,5,8,5,6,5,5,10,5,10,5,5,7,4,6,4,7,4,3,5,2,3,4,4,8,13,14,17,17,9,19,11,13,3,6,12,12,17,5,15,8,14,3,8,11,16,11,11,5,14,6,13,15,10,14,11,15,12,7,13,17,10,20,12,16,14,19,8,9,13,11,9,9,11,9,8,6,6,8,6,3,7,2,2,0,6,1,0,1,1,0,,
S01006621,Cove North - 03,Aberdeen City,504,,4,6,4,2,8,3,4,9,4,7,3,7,5,3,4,4,6,5,0,3,4,1,3,5,9,8,6,7,18,10,7,16,6,12,10,9,5,8,11,4,6,4,9,5,8,5,7,4,11,3,7,7,1,5,7,7,8,6,5,9,3,3,9,6,4,9,10,10,15,5,11,6,5,8,3,4,5,4,1,0,1,1,5,0,1,0,1,0,0,0,0,,
