"country","year","fuel","cars","AvgCO2_mean","AvgAge_mean"
"W",2012,"DIESEL",511818,151.431568465165,6.57108962860136
"W",2012,"ELECTRIC DIESEL",20,104.64815,0.565855992222222
"W",2012,"HYBRID ELECTRIC",2734,112.986602590988,3.29262051652905
"W",2012,"OTHER",2874,214.673544941634,11.2204273403988
"W",2012,"PETROL",927613,160.156520848612,8.65576047040335
"W",2013,"DIESEL",543542,148.845802304872,6.72264730015715
"W",2013,"ELECTRIC DIESEL",87,105.194536065574,0.939302393770492
"W",2013,"HYBRID ELECTRIC",3290,109.531782230889,3.55114416579235
"W",2013,"OTHER",2769,207.939252684109,11.6988657336315
"W",2013,"PETROL",908370,157.424271084337,8.83792866422211
"W",2014,"DIESEL",579563,146.192757202724,6.87842565007857
"W",2014,"ELECTRIC DIESEL",126,102.434020618557,1.50280097090206
"W",2014,"HYBRID ELECTRIC",4057,104.324210150215,3.70555709283262
"W",2014,"OTHER",2757,185.343717231897,11.4585210917417
"W",2014,"PETROL",896460,154.716089104243,9.00189836196962
"W",2015,"DIESEL",611608,143.382348088004,7.02776879727606
"W",2015,"ELECTRIC DIESEL",177,105.958143939394,2.06192770621212
"W",2015,"HYBRID ELECTRIC",5150,98.453719070072,3.74569726782723
"W",2015,"OTHER",2827,159.136662750922,11.1389245161252
"W",2015,"PETROL",882336,151.710181927711,9.08231899214248
"W",2016,"DIESEL",643068,140.621049449974,7.16386778889471
"W",2016,"ELECTRIC DIESEL",211,104.085622692308,2.8134497478022
"W",2016,"HYBRID ELECTRIC",6641,95.0795175535168,3.78821446816626
"W",2016,"OTHER",2799,134.747185457656,10.6035270732539
"W",2016,"PETROL",872582,148.57753085385,9.10893867888947
"W",2017,"DIESEL",665014,138.242563488738,7.34802421162913
"W",2017,"ELECTRIC DIESEL",271,102.312962844444,3.49146218275556
"W",2017,"HYBRID ELECTRIC",9098,91.5460148633257,3.52865900060364
"W",2017,"OTHER",2852,115.015927055256,10.3386752726227
"W",2017,"PETROL",863059,145.450119067575,9.09767610581456
"W",2018,"DIESEL",678954,136.499760981327,7.62213965429078
"W",2018,"ELECTRIC DIESEL",289,101.75644028103,4.29278177090164
"W",2018,"HYBRID ELECTRIC",12180,90.2118067166099,3.46105350827457
"W",2018,"OTHER",2955,91.3805274702572,9.71908685987488
"W",2018,"PETROL",862696,142.584239540019,9.11273817240612
